group,groupLabel,variable,variableLabel,variablePage
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V72,JAN: ACT NUM RAPE TOTL,69
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V73,JAN: ACT NUM FORC RAPE,69
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V74,JAN: ACT NUM ATMPTD RAPE,69
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V75,JAN: ACT NUM ROBBRY TOTL,70
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V76,JAN: ACT NUM GUN ROBBERY,70
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V77,JAN: ACT NUM KNIFE ROBRY,70
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V78,JAN: ACT NUM OTH WPN ROB,70
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V79,JAN: ACT NUM STR ARM ROB,70
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V80,JAN: ACT NUM ASSLT TOTAL,70
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V81,JAN: ACT NUM GUN ASSAULT,71
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V82,JAN: ACT NUM KNIFE ASSLT,71
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V83,JAN: ACT # OTH WPN ASSLT,71
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V84,JAN: ACT # HND/FEET ASLT,71
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V85,JAN: ACT # SIMPLE ASSLT,71
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V86,JAN: ACT # BURGLARY TOTL,72
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V87,JAN: ACT # FORCE ENTRY,72
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V88,JAN: ACT # ENTRY-NO FORC,72
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V89,JAN: ACT # ATT BURGLARY,72
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V90,JAN: ACT # LARCENY TOTAL,72
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V91,JAN: ACT # VHC THEFT TOT,73
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V92,JAN: ACT # AUTO THEFT,73
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V93,JAN: ACT # TRCK/BUS THFT,73
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V94,JAN: ACT # OTH VHC THEFT,73
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V95,JAN: ACT # ALL FIELDS,73
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V96,JAN: TOT CLR MURDER,74
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V97,JAN: TOT CLR MANSLGHTR,74
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V98,JAN: TOT CLR RAPE TOTAL,74
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V99,JAN: TOT CLR FORC RAPE,74
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V100,JAN: TOT CLR ATMPTD RAPE,74
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V101,JAN: TOT CLR TOTL ROBERY,75
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V102,JAN: TOT CLR GUN ROBBERY,75
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V103,JAN: TOT CLR KNIFE ROBRY,75
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V104,JAN: TOT CLR OTH WPN ROB,75
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V105,JAN: TOT CLR STR ARM ROB,75
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V106,JAN: TOT CLR ASSLT TOTAL,76
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V107,JAN: TOT CLR GUN ASSAULT,76
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V108,JAN: TOT CLR KNIFE ASSLT,76
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V109,JAN: TOT CLR OTH WPN ASLT,76
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V110,JAN: TOT CLR HND/FT ASLT,76
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V111,JAN: TOT CLR SIMPLE ASLT,77
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V112,JAN: TOT CLR BRGLRY TOTL,77
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V113,JAN: TOT CLR FORC ENTRY,77
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V114,JAN: TOT CLR ENTR-NO FRC,77
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V115,JAN: TOT CLR ATT BURGLRY,77
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V116,JAN: TOT CLR LARCNY TOTL,78
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V117,JAN:TOT CLR VHC THFT TOT,78
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V118,JAN: TOT CLR AUTO THEFT,78
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V119,JAN:TOT CLR TRCK/BS THFT,78
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V120,JAN:TOT CLR OTH VHC THFT,78
VG5F1,JANUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V121,JAN: TOT CLR ALL FIELDS,79
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V122,JAN: CLR<18 MURDER,79
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V123,JAN: CLR<18 MANSLGHTR,79
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V124,JAN: CLR<18 RAPE TOTAL,79
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V125,JAN: CLR<18 FORCE RAPE,79
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V126,JAN: CLR<18 ATTMPTD RAPE,80
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V127,JAN: CLR<18 ROBBERY TOTL,80
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V128,JAN: CLR<18 GUN ROBBERY,80
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V129,JAN: CLR<18 KNIFE ROBBRY,80
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V130,JAN: CLR<18 OTH WPN RBRY,80
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V131,JAN: CLR<18 STR ARM ROB,81
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V132,JAN: CLR<18 ASSLT TOTAL,81
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V133,JAN: CLR<18 GUN ASSAULT,81
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V134,JAN: CLR<18 KNIFE ASSLT,81
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V135,JAN: CLR<18 OTH WPN ASLT,81
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V136,JAN: CLR<18 HND/FT ASSLT,82
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V137,JAN: CLR<18 SIMPLE ASSLT,82
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V138,JAN: CLR<18 BURGLRY TOTL,82
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V139,JAN: CLR<18 FORC ENTRY,82
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V140,JAN: CLR<18 ENTR-NO FORC,82
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V141,JAN: CLR<18 ATT BURGLARY,83
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V142,JAN: CLR<18 LARCENY TOTL,83
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V143,JAN: CLR<18 VHC THFT TOT,83
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V144,JAN: CLR<18 AUTO THEFT,83
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V145,JAN: CLR<18 TRCK/BS THFT,83
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V146,JAN: CLR<18 OTH VHC THFT,84
VG6F1,JANUARY: NUMBER OF CLEARANCES INVOLVING ONLY PERSONS UNDER 18 YEARS OF AGE,V147,JAN: CLR<18 ALL FIELDS,84
VG7F1,JANUARY: NUMBER OF OFFICERS KILLED OR ASSAULTED,V148,JAN: OFFICRS KILL BY FEL,84
VG7F1,JANUARY: NUMBER OF OFFICERS KILLED OR ASSAULTED,V149,JAN: OFFICRS KILL BY ACC,84
VG7F1,JANUARY: NUMBER OF OFFICERS KILLED OR ASSAULTED,V150,JAN: OFFICERS ASSAULTED,84
VG8F1,FEBRUARY: ACCOUNTING VARIABLES,V151,FEB: MONTH INCLUDED IN,85
VG8F1,FEBRUARY: ACCOUNTING VARIABLES,V152,FEB: LAST UPDATE,85
VG8F1,FEBRUARY: ACCOUNTING VARIABLES,V153,FEB: CARD 0 TYPE,85
VG8F1,FEBRUARY: ACCOUNTING VARIABLES,V154,FEB: CARD 1 TYPE,86
VG8F1,FEBRUARY: ACCOUNTING VARIABLES,V155,FEB: CARD 2 TYPE,86
VG8F1,FEBRUARY: ACCOUNTING VARIABLES,V156,FEB: CARD 3 TYPE,86
VG8F1,FEBRUARY: ACCOUNTING VARIABLES,V157,FEB: CARD 4 TYPE,86
VG8F1,FEBRUARY: ACCOUNTING VARIABLES,V158,FEB: CARD 0 P/T,87
VG8F1,FEBRUARY: ACCOUNTING VARIABLES,V159,FEB: CARD 1 P/T,87
VG8F1,FEBRUARY: ACCOUNTING VARIABLES,V160,FEB: CARD 2 P/T,87
VG8F1,FEBRUARY: ACCOUNTING VARIABLES,V161,FEB: CARD 3 P/T,87
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V162,FEB: UNFOUNDED MURDER,88
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V163,FEB: UNFOUNDED MANSLGHTR,88
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V164,FEB: UNFOUNDED RAPE TOTL,88
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V165,FEB: UNFOUNDED FORC RAPE,88
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V166,FEB: UNFOUND ATMPTD RAPE,88
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V167,FEB: UNFOUND ROBBRY TOTL,89
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V168,FEB: UNFOUND GUN ROBBERY,89
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V169,FEB: UNFOUNDED KNIFE ROB,89
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V170,FEB: UNFND OTHR WEAP ROB,89
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V171,FEB: UNFND STRNG-ARM ROB,89
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V172,FEB: UNFOUND ASSLT TOTAL,90
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V173,FEB: UNFOUND GUN ASSLT,90
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V174,FEB: UNFOUND KNIFE ASSLT,90
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V175,FEB: UNFND OTH WPN ASLT,90
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V176,FEB: UNFND HND/FEET ASLT,90
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V177,FEB: UNFND SIMPL ASSAULT,91
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V178,FEB: UNFOUND BURG TOTAL,91
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V179,FEB: UNFOUND FORCE ENTRY,91
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V180,FEB: UNFND ENTRY-NO FORC,91
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V181,FEB: UNFND ATT BURGLARY,91
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V182,FEB: UNFOUND LARCNY TOTL,92
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V183,FEB: UF TOT MTR VHC THFT,92
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V184,FEB: UNFOUND AUTO THEFT,92
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V185,FEB: UF TRUCK/BUS THEFT,92
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V186,FEB: UNFND OTH VHC THEFT,92
VG9F1,FEBRUARY: NUMBER OF UNFOUNDED OFFENSES,V187,FEB: UNFOUND ALL FIELDS,93
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V188,FEB: ACT NUM MURDER,93
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V189,FEB: ACT NUM MANSLGHTR,93
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V190,FEB: ACT NUM RAPE TOTL,93
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V191,FEB: ACT NUM FORC RAPE,93
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V192,FEB: ACT NUM ATMPTD RAPE,94
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V193,FEB: ACT NUM ROBBRY TOTL,94
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V194,FEB: ACT NUM GUN ROBBERY,94
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V195,FEB: ACT NUM KNIFE ROBRY,94
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V196,FEB: ACT NUM OTH WPN ROB,94
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V197,FEB: ACT NUM STR ARM ROB,95
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V198,FEB: ACT NUM ASSLT TOTAL,95
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V199,FEB: ACT NUM GUN ASSAULT,95
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V200,FEB: ACT NUM KNIFE ASSLT,95
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V201,FEB: ACT # OTH WPN ASSLT,95
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V202,FEB: ACT # HND/FEET ASLT,95
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V203,FEB: ACT # SIMPLE ASSLT,96
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V204,FEB: ACT # BURGLARY TOTL,96
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V205,FEB: ACT # FORCE ENTRY,96
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V206,FEB: ACT # ENTRY-NO FORC,96
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V207,FEB: ACT # ATT BURGLARY,96
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V208,FEB: ACT # LARCENY TOTAL,97
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V209,FEB: ACT # VHC THEFT TOT,97
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V210,FEB: ACT # AUTO THEFT,97
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V211,FEB: ACT # TRCK/BUS THFT,97
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V212,FEB: ACT # OTH VHC THEFT,97
VG10F1,FEBRUARY: NUMBER OF ACTUAL OFFENSES,V213,FEB: ACT # ALL FIELDS,98
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V214,FEB: TOT CLR MURDER,98
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V215,FEB: TOT CLR MANSLGHTR,98
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V216,FEB: TOT CLR RAPE TOTAL,98
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V217,FEB: TOT CLR FORC RAPE,98
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V218,FEB: TOT CLR ATMPTD RAPE,99
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V219,FEB: TOT CLR TOTL ROBERY,99
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V220,FEB: TOT CLR GUN ROBBERY,99
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V221,FEB: TOT CLR KNIFE ROBRY,99
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V222,FEB: TOT CLR OTH WPN ROB,99
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V223,FEB: TOT CLR STR ARM ROB,100
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V224,FEB: TOT CLR ASSLT TOTAL,100
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V225,FEB: TOT CLR GUN ASSAULT,100
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V226,FEB: TOT CLR KNIFE ASSLT,100
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V227,FEB: TOT CLR OTH WPN ASLT,100
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V228,FEB: TOT CLR HND/FT ASLT,101
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V229,FEB: TOT CLR SIMPLE ASLT,101
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V230,FEB: TOT CLR BRGLRY TOTL,101
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V231,FEB: TOT CLR FORC ENTRY,101
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V232,FEB: TOT CLR ENTR-NO FRC,101
VG11F1,FEBRUARY: NUMBER OF TOTAL OFFENSES CLEARED BY ARREST,V233,FEB: TOT CLR ATT BURGLRY,102
